,id,operation_time,code,category,timeout,answer,status
593,594,2020-01-26 01:16:45.491920,14149-14479-97,None,0.043005,provider == null,Услга не выведена
594,595,2020-01-26 01:16:45.548711,14149-14479-1,None,0.043815,provider == null,Услга не выведена
595,596,2020-01-26 01:16:45.608135,14149-14479-5,None,0.043913,provider == null,Услга не выведена
596,597,2020-01-26 01:16:45.668934,14149-14479-6,None,0.043965,provider == null,Услга не выведена
597,598,2020-01-26 01:16:45.728674,14149-14479-98,None,0.045758,provider == null,Услга не выведена
598,599,2020-01-26 01:16:45.796157,14149-14479-100,None,0.052562,provider == null,Услга не выведена
599,600,2020-01-26 01:16:45.999940,14149-14479-4,None,0.190698,provider == null,Услга не выведена
600,601,2020-01-26 01:16:46.059568,14149-14479-12,None,0.043951,provider == null,Услга не выведена
601,602,2020-01-26 01:16:46.116888,14149-14479-2,None,0.043993,provider == null,Услга не выведена
602,603,2020-01-26 01:16:47.026598,14149-14479-92,None,0.88827,bisys.OtherException: BIS-01648: OtherError:Неверный формат или значение суммы к зачислению вне допустимого диапазона,Format
603,604,2020-01-26 01:16:47.086290,14149-14479-99,None,0.044453,provider == null,Услга не выведена
604,605,2020-01-26 01:16:47.143097,14149-14479-241,None,0.043586,provider == null,Услга не выведена
605,606,2020-01-26 01:16:47.201538,14149-14479-242,None,0.044193,provider == null,Услга не выведена
606,607,2020-01-26 01:16:47.259667,14149-14479-197,None,0.044328,provider == null,Услга не выведена
607,608,2020-01-26 01:16:47.319724,14149-14479-201,None,0.046548,provider == null,Услга не выведена
608,609,2020-01-26 01:16:47.378501,14149-14479-202,None,0.044199,provider == null,Услга не выведена
609,610,2020-01-26 01:16:47.439237,14149-14479-130,None,0.046721,provider == null,Услга не выведена
610,611,2020-01-26 01:16:47.503784,14149-14479-143,None,0.046515,provider == null,Услга не выведена
